,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2942,4858341.0,Mar da Babilônia Hostel,24415930,Cristina,Unknown,Leme,-22.95925,-43.16994,Shared room,55,1,3,22/11/2017,0.04,5,358,0,Unknown
2943,4858441.0,Mar da Babilonia Hostel,24415930,Cristina,Unknown,Leme,-22.9608,-43.17165,Shared room,55,1,2,10/02/2020,0.02,5,365,0,Unknown
2958,5212620.0,Mar da Babilônia Hostel,24415930,Cristina,Unknown,Leme,-22.96016,-43.17028,Shared room,55,1,0,No_reviews,0.0,5,365,0,Unknown
2959,5212678.0,Sea of Babylon Hostel,24415930,Cristina,Unknown,Leme,-22.96082,-43.17035,Shared room,55,1,2,02/01/2019,0.03,5,365,0,Unknown
3130,5746600.0,Dois Irmãos Casa Hostel,29807424,Sueleni,Unknown,Vidigal,-22.99244,-43.23428,Shared room,55,2,3,31/12/2016,0.04,1,365,0,Unknown
3134,5430206.0,Collective room individual price,1796794,Yara,Unknown,São Cristóvão,-22.90246,-43.22566,Shared room,207,1,8,26/09/2019,0.09,5,365,0,Unknown
3177,5180969.0,Quarto Flamengo ( 4 pessoas ),1673501,Josy,Unknown,Santa Teresa,-22.92251,-43.18156,Shared room,600,1,1,06/10/2019,0.03,4,365,0,Unknown
3305,6475187.0,"olá, eu sou judite!",33827990,Judite,Unknown,Humaitá,-22.95611,-43.20055,Shared room,309,4,0,No_reviews,0.0,1,364,0,Unknown
3379,6622112.0,Pousada dos pássaros Rio Sobrado,17175278,Elcio,Unknown,Brás de Pina,-22.82514,-43.28482,Shared room,106,1,2,02/01/2019,0.02,6,90,0,Unknown
3514,7746353.0,Hospedagem c/ café da manhã!!!,26595931,Cesar,Unknown,Recreio dos Bandeirantes,-23.03519,-43.49321,Shared room,101,1,0,No_reviews,0.0,1,0,0,Unknown
3527,8438021.0,The Best Treatment in Rio! O Melhor Tratamento Do Rio!,44428550,Carlos,Unknown,Vidigal,-22.99668,-43.23932,Shared room,56,1,13,02/05/2022,0.17,10,364,2,Unknown
3619,8541063.0,Single room in Lapa,44964787,José,Unknown,Centro,-22.91592,-43.1776,Shared room,120,10,0,No_reviews,0.0,1,364,0,Unknown
3931,9651430.0,Ótima oportunidade no RJ para as olimpíadas!,49894931,Elizabeth,Unknown,Grajaú,-22.92036,-43.26042,Shared room,35,7,0,No_reviews,0.0,1,365,0,Unknown
3972,9412425.0,*Single Bed in Mixed Dormitory Room up to 5 beds*,26748682,Rose Kaneko,Unknown,Curicica,-22.94821,-43.38566,Shared room,120,1,16,16/04/2022,0.22,16,177,6,Unknown
4195,10123138.0,Single Bed in 5 Bunk Bed Dorm Room-Riocentro,26748682,Rose Kaneko,Unknown,Curicica,-22.94864,-43.38305,Shared room,120,1,0,No_reviews,0.0,16,354,0,Unknown
4344,10044026.0,Cama em Dormitório Misto,26748682,Rose Kaneko,Unknown,Curicica,-22.95083,-43.38277,Shared room,120,1,10,08/04/2022,0.13,16,351,2,Unknown
4411,10524885.0,Shared Room for the Rio Carnival!,50721893,Anderson,Unknown,Parque Anchieta,-22.82802,-43.40133,Shared room,55,1,2,21/08/2016,0.03,1,365,0,Unknown
4440,10549548.0,Cama em Dormitório Misto 5 Beliche - Rock-in-Rio,26748682,Rose Kaneko,Unknown,Curicica,-22.94895,-43.38318,Shared room,120,1,11,04/02/2020,0.15,16,177,0,Unknown
4635,10832579.0,Penthouse-Barra da Tijuca-1 bedroom-2 beds,56094640,José,Unknown,Barra da Tijuca,-23.01058,-43.31478,Shared room,361,2,1,17/08/2016,0.01,2,365,0,Unknown
4656,10846603.0,Olimpíadas: Alugo camas em quarto.,56175496,Anuncio Cancelado!,Unknown,Maracanã,-22.91802,-43.23288,Shared room,600,5,0,No_reviews,0.0,1,363,0,Unknown
4675,11054380.0,A Toca de Santa #2,57358522,Pedro,Unknown,Santa Teresa,-22.92451,-43.19044,Shared room,90,2,3,06/10/2019,0.04,5,365,0,Unknown
4690,11079283.0,A Toca de Santa #1,57358522,Pedro,Unknown,Santa Teresa,-22.92329,-43.19033,Shared room,90,2,8,29/02/2020,0.1,5,365,0,Unknown
4694,11085173.0,Casa Camorim Rock in Rio perto do park olimpico,50893268,Adriana,Unknown,Jacarepaguá,-22.96454,-43.40303,Shared room,120,1,9,07/10/2019,0.13,11,359,0,Unknown
4698,11085641.0,Casarão Camorim Rock in Rio perto parque olimpico,50893268,Adriana,Unknown,Jacarepaguá,-22.96389,-43.40306,Shared room,120,2,2,09/10/2019,0.03,11,358,0,Unknown
4706,11096932.0,A Toca de Santa #3,57358522,Pedro,Unknown,Santa Teresa,-22.92473,-43.19264,Shared room,90,2,4,02/01/2022,0.05,5,365,1,Unknown
4715,11020084.0,Shared Room in Rio,55248222,Filipi E Jessica,Unknown,Santa Teresa,-22.91952,-43.18097,Shared room,50,2,28,25/04/2022,0.36,5,360,10,Unknown
4739,11031580.0,Barra da Tijuca - The most beautiful beach in Rio,57247517,Sergio,Unknown,Barra da Tijuca,-23.01019,-43.31939,Shared room,490,1,7,06/03/2019,0.09,1,359,0,Unknown
