,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
701,6810808.0,â¯ MASTER SUITES PRIME LOCATION â¯,35406862,Thor,Unknown,CuauhtÃ©moc,19.42368,-99.17148,Hotel room,4543.0,1.0,7.0,08/11/2021,0.09,19.0,365.0,2.0
959,9171973.0,1 Bedroom Apartment bosques,15219834,Enrique Y Ricardo,Unknown,Miguel Hidalgo,19.40033,-99.25303,Hotel room,1075.0,2.0,36.0,04/05/2021,0.48,27.0,162.0,0.0
1075,11491144.0,LOOKING FOR A GROUP STAY DEAL? THIS IS IT!,35406862,Thor,Unknown,CuauhtÃ©moc,19.42456,-99.17179,Hotel room,1817.0,1.0,0.0,No_reviews,0.0,19.0,365.0,0.0
1077,11507601.0,HIGH-END TOWER FOR COWORKING - 90 JR. SUITES,35406862,Thor,Unknown,CuauhtÃ©moc,19.42543,-99.17176,Hotel room,1817.0,1.0,2.0,27/05/2018,0.04,19.0,365.0,0.0
1247,11865463.0,Hotel Casa Jacinta /H1 - Double Room,63252083,Daniel,Unknown,CoyoacÃ¡n,19.35187,-99.16605,Hotel room,2200.0,1.0,7.0,19/01/2022,0.09,10.0,302.0,1.0
1257,11891097.0,Hotel Casa Jacinta /H10 - Double Room De Luxe,63252083,Daniel,Unknown,CoyoacÃ¡n,19.35185,-99.16608,Hotel room,2200.0,1.0,3.0,27/12/2021,0.05,10.0,302.0,1.0
1265,11905914.0,Hotel Casa Jacinta /H2 - Single Room,63252083,Daniel,Unknown,CoyoacÃ¡n,19.35221,-99.16585,Hotel room,2100.0,1.0,1.0,04/06/2016,0.01,10.0,302.0,0.0
1266,11912604.0,Hotel Casa Jacinta /H8 - Single Cabin,63252083,Daniel,Unknown,CoyoacÃ¡n,19.35221,-99.16585,Hotel room,2200.0,1.0,1.0,25/12/2017,0.02,10.0,327.0,0.0
1302,12008058.0,Exclusivo departamento 2 recÃ¡maras Polanco,64224416,Israel,Unknown,Miguel Hidalgo,19.4282,-99.19292,Hotel room,5089.0,1.0,32.0,12/06/2022,0.47,2.0,347.0,10.0
1317,12798025.0,"Vista a la ciudad, estudio cama king en Santa Fe",69708118,Leslie & Alex,Unknown,Cuajimalpa de Morelos,19.358154,-99.277779,Hotel room,917.0,2.0,42.0,13/05/2022,0.59,7.0,319.0,9.0
1368,13587715.0,Apartamento Amueblado Vista Interior en la Condesa,78456925,Joaquin,Unknown,CuauhtÃ©moc,19.40315,-99.17053,Hotel room,531.0,3.0,85.0,22/05/2022,1.88,4.0,346.0,34.0
2291,16840020.0,Suite familiar en Portal San Angel,110805631,Diana,Unknown,Ãlvaro ObregÃ³n,19.36133,-99.18829,Hotel room,1999.0,1.0,21.0,07/05/2022,0.32,15.0,356.0,2.0
2301,16842742.0,"Suite con baÃ±o y cocina privado, 2 pax SANITIZADA",92520916,Adrian,Unknown,Ãlvaro ObregÃ³n,19.35765,-99.17713,Hotel room,749.0,1.0,25.0,02/09/2021,0.62,8.0,353.0,4.0
2579,17777234.0,â¤ 25 SUITES - HOME OFFICE FOR COMPANY STAFF-WEEKLY,35406862,Thor,Unknown,CuauhtÃ©moc,19.42632,-99.17102,Hotel room,7875.0,1.0,0.0,No_reviews,0.0,19.0,365.0,0.0
3106,19914427.0,El mejor Loft con terraza arbolada privada.,30600030,Daphne,Unknown,Benito JuÃ¡rez,19.40245,-99.14661,Hotel room,1200.0,1.0,15.0,20/06/2021,0.25,16.0,334.0,0.0
3125,19945397.0,Master Suite,141354058,Suites,Unknown,Miguel Hidalgo,19.42723,-99.19667,Hotel room,40386.0,1.0,11.0,06/11/2021,0.19,2.0,360.0,1.0
3602,21681686.0,Enjoy The Artistic âEscuderoâ suite with balcony,131935733,Deco,Unknown,CuauhtÃ©moc,19.42274,-99.15883,Hotel room,1977.0,1.0,106.0,02/06/2022,2.06,12.0,153.0,44.0
3722,22321037.0,Beautiful Apartment,163184238,Eliana,Unknown,Benito JuÃ¡rez,19.39605,-99.17686,Hotel room,10000.0,1.0,1.0,31/08/2019,0.03,1.0,89.0,0.0
3982,23103056.0,Londres 212-405 Lujo Mediana King,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42331,-99.16816,Hotel room,1250.0,1.0,27.0,03/11/2019,0.51,35.0,360.0,0.0
4037,23149529.0,Londres 212 -203 Lujo Chica Queen,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42357,-99.16805,Hotel room,1100.0,1.0,93.0,05/06/2022,1.75,35.0,360.0,5.0
4042,23150278.0,Londres 212-201 Lujo Grande King.,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42329,-99.16814,Hotel room,1350.0,1.0,22.0,07/11/2021,0.42,35.0,360.0,1.0
4092,23059446.0,Londres 212 -206 Lujo Mediana king,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42331,-99.16816,Hotel room,1250.0,1.0,50.0,17/02/2020,0.94,35.0,360.0,0.0
4095,23202761.0,Londres 212-204 Lujo Chica king,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42357,-99.16805,Hotel room,1150.0,1.0,80.0,13/02/2022,1.51,35.0,360.0,2.0
4096,23077162.0,Londres 212 -305 lujo Mediana King,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42329,-99.16814,Hotel room,1250.0,1.0,42.0,18/11/2019,0.79,35.0,360.0,0.0
4321,23500896.0,Relax at the Cozy âBarraganâ Art suite,131935733,Deco,Unknown,CuauhtÃ©moc,19.42234,-99.16106,Hotel room,1638.0,1.0,80.0,16/05/2022,1.56,12.0,200.0,23.0
4327,23924789.0,Full apartment - HOTEL AMENITIES!,156085152,Mega,Unknown,CuauhtÃ©moc,19.42498,-99.16867,Hotel room,1990.0,1.0,13.0,11/12/2021,0.25,16.0,357.0,1.0
4370,23957804.0,Suite in Reforma. Hotel amenities. Pool/Gym. K5,156085152,Mega,Unknown,CuauhtÃ©moc,19.42565,-99.1697,Hotel room,1990.0,1.0,9.0,02/03/2020,0.17,16.0,357.0,0.0
4376,23958426.0,Best flat in Reforma. Suite. Jacuzzi and gym. K12,370029802,Val,Unknown,CuauhtÃ©moc,19.42658,-99.17046,Hotel room,1990.0,1.0,13.0,27/03/2022,0.25,17.0,357.0,4.0
4379,23958598.0,Full Suite. *Hotel Amenities* WALK EVERYWHERE -K13,370029802,Val,Unknown,CuauhtÃ©moc,19.42599,-99.17044,Hotel room,1990.0,1.0,11.0,26/02/2022,0.22,17.0,357.0,1.0
4385,23959123.0,"Great Suite w/hotel Amenities, jacuzzi and gym K15",370029802,Val,Unknown,CuauhtÃ©moc,19.42669,-99.16958,Hotel room,1990.0,1.0,16.0,19/02/2022,0.31,17.0,357.0,1.0
4743,25554968.0,Single Outer Apartment - Grand Chapultepec Residen,73563229,Lilia Castellanos,Unknown,CuauhtÃ©moc,19.42491,-99.17542,Hotel room,1166.0,2.0,1.0,03/11/2018,0.02,5.0,318.0,0.0
4745,25555713.0,Single Room Apartment with Full Service Included,73563229,Lilia Castellanos,Unknown,CuauhtÃ©moc,19.42491,-99.17542,Hotel room,971.0,2.0,17.0,05/06/2022,0.38,5.0,347.0,16.0
4748,25555836.0,Cozy single Deluxe Apartment - Mexico City Polanco,30418640,Lamartine,Unknown,Miguel Hidalgo,19.42819,-99.18908,Hotel room,1962.0,2.0,3.0,19/06/2021,0.2,5.0,349.0,0.0
4751,25556159.0,Beautiful single Apartment in Polanco Area,30418640,Lamartine,Unknown,Miguel Hidalgo,19.42819,-99.18908,Hotel room,1765.0,2.0,15.0,08/06/2022,1.25,5.0,353.0,15.0
4754,25556522.0,Single Room 2 Beds - Reforma Area,73563229,Lilia Castellanos,Unknown,CuauhtÃ©moc,19.42491,-99.17542,Hotel room,971.0,2.0,44.0,18/06/2022,8.86,5.0,352.0,44.0
4757,25557424.0,Double Outer Apartment in Reforma area,73563229,Lilia Castellanos,Unknown,CuauhtÃ©moc,19.42491,-99.17542,Hotel room,1360.0,2.0,13.0,07/06/2022,0.29,5.0,276.0,12.0
4761,25558048.0,Double Room Outer Apart with Balcony,30418640,Lamartine,Unknown,Miguel Hidalgo,19.428185,-99.189079,Hotel room,2393.0,2.0,7.0,07/06/2022,0.9,5.0,337.0,7.0
4764,25558231.0,Double Room 3 Beds - Reforma Area,73563229,Lilia Castellanos,Unknown,CuauhtÃ©moc,19.42491,-99.17542,Hotel room,1554.0,2.0,7.0,03/06/2022,0.16,5.0,322.0,6.0
4768,25558602.0,"Beauty Condo with Balcony - Polanco, Mexico City",30418640,Lamartine,Unknown,Miguel Hidalgo,19.42819,-99.18908,Hotel room,1765.0,2.0,3.0,01/05/2022,0.6,5.0,355.0,3.0
4769,25574038.0,LONDRES 212- PENT HOUSE 802,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42444,-99.16786,Hotel room,1450.0,1.0,0.0,No_reviews,0.0,35.0,360.0,0.0
