,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12419,33446964.0,"Hospedaria Canto do Tiê
Quarto 1 (Casal)",251967883,Beatriz,Unknown,Paquetá,-22.75094,-43.10642,Private room,253,3,10,28/03/2022,0.26,4,176,4,Unknown
12424,34282936.0,Luxuosa Suite Familia  4/5 p. na Casa Amarelo,50270482,Laurent,Unknown,Santa Teresa,-22.9174,-43.18419,Private room,538,2,0,No_reviews,0.0,10,0,0,Unknown
12425,34302807.0,"Hospedaria Canto do Tiê
Quarto 2 (Dois solteiros)",251967883,Beatriz,Unknown,Paquetá,-22.75077,-43.10505,Private room,200,2,0,No_reviews,0.0,4,106,0,Unknown
12426,34305349.0,Pousada vista chinesa,258955969,Marcelo,Unknown,Jardim Botânico,-22.96439,-43.22382,Private room,191,1,0,No_reviews,0.0,1,365,0,Unknown
12428,34561663.0,Hospedagem em JACAREPAGUÁ - HOSTEL MATTOS 2,132833037,Greice,Unknown,Taquara,-22.92576,-43.37768,Private room,91,1,1,10/03/2022,0.29,2,357,1,Unknown
12445,34307528.0,Quarto 01  Compartilhado na Freguesia - Jpa,258999505,Aldo,Unknown,Jacarepaguá,-22.93716,-43.32454,Private room,200,1,0,No_reviews,0.0,4,365,0,Unknown
12452,34610239.0,O Carnaval é melhor no Leblon.,261116287,Cláudio,Unknown,Leblon,-22.98117,-43.2244,Private room,700,1,0,No_reviews,0.0,1,363,0,Unknown
12456,34354801.0,Rock in Rio: Suíte na Vila do Pan Barra da Tijuca,53613804,Carmilton,Unknown,Jacarepaguá,-22.97367,-43.35695,Private room,400,2,3,07/10/2019,0.09,5,29,0,Unknown
12460,33507980.0,Quarto Minimalista,4501614,Patricia,Unknown,Barra da Tijuca,-22.99887,-43.33752,Private room,90,2,11,26/04/2022,0.32,4,80,6,Unknown
12461,33510140.0,Copacabana Q da praia Quarto alugar,127380318,Ines,Unknown,Copacabana,-22.97783,-43.18925,Private room,209,10,0,No_reviews,0.0,5,0,0,Unknown
12463,34649583.0,Quartos privados para 4 ou 6  hóspedes - Ipanema,249003418,Paulo,Unknown,Copacabana,-22.98679,-43.19143,Private room,350,1,6,05/12/2021,0.21,9,342,4,Unknown
12464,34663772.0,Cantinho da montanha,27709253,Eliane,Unknown,Jacarepaguá,-22.96976,-43.42495,Private room,180,3,0,No_reviews,0.0,5,354,0,Unknown
12465,34927756.0,Copa Ameŕica 2019,8477603,Pamela,Unknown,Centro,-22.90613,-43.17356,Private room,250,3,0,No_reviews,0.0,5,364,0,Unknown
12469,33519006.0,Ap no coração de botafogo,4596143,Camilla,Unknown,Botafogo,-22.95082,-43.18671,Private room,53,1,29,15/06/2022,0.88,2,102,14,Unknown
12471,34943567.0,Apartamento aconchego,257205197,Neiva,Unknown,Riachuelo,-22.90414,-43.25637,Private room,80,2,1,07/10/2019,0.03,1,87,0,Unknown
12474,34667993.0,Alugo quarto individual,32971730,Bruno,Unknown,Vila Isabel,-22.9218,-43.23713,Private room,90,5,0,No_reviews,0.0,1,90,0,Unknown
12476,34669152.0,Quarto 5,260600278,Varandas Do Maracanã,Unknown,Maracanã,-22.91483,-43.2324,Private room,200,3,0,No_reviews,0.0,6,352,0,Unknown
12478,33556800.0,Quarto em Copacabana,12350620,Kathy,Unknown,Copacabana,-22.97105,-43.18594,Private room,180,2,1,02/01/2020,0.03,1,89,0,Unknown
